sentenceId,raw_text,aspectTerms
1516,"Until Dawn is a very uneven movie, especially in its two halves that fail to combine into a greater whole. [...] At the end of the day, it’s an enjoyable ride that I had a lot of fun with for large stretches.","[{'term': 'Until Dawn', 'polarity': 'neutral'}, {'term': 'movie', 'polarity': 'neutral'}, {'term': 'halves', 'polarity': 'negative'}, {'term': 'whole', 'polarity': 'negative'}, {'term': 'day', 'polarity': 'neutral'}, {'term': 'ride', 'polarity': 'positive'}, {'term': 'stretches', 'polarity': 'positive'}]"
651,"a film that speaks to the very core of a nation, bringing together generations of Italians — and Italian women, in particular — and effortlessly blending neorealism with comedy. It’s a film that shouldn’t work on paper, and yet, somehow, it does.","[{'term': 'film', 'polarity': 'positive'}, {'term': 'neorealism', 'polarity': 'positive'}, {'term': 'comedy', 'polarity': 'positive'}, {'term': 'Italian women', 'polarity': 'positive'}]"
333,The director creates a fantastic amusement park to give free rein to his very particular obsession with criticizing the inhumanity of capitalism.,"[{'term': 'director', 'polarity': 'neutral'}, {'term': 'amusement park', 'polarity': 'positive'}, {'term': 'capitalism', 'polarity': 'negative'}]"
1370,"Although sometimes a little overstuffed, the picture consistently gets under the skin thanks to its expertly-staged fright sequences that reverberate with insidious societal ills.","[{'term': 'picture', 'polarity': 'positive'}, {'term': 'skin', 'polarity': 'positive'}, {'term': 'fright sequences', 'polarity': 'positive'}, {'term': 'ills', 'polarity': 'neutral'}]"
594,a sluggish and predominantly uninvolving misfire that contains few (if any) attributes designed to capture and sustain the viewer’s ongoing interest.,"[{'term': 'Seven Veils', 'polarity': 'negative'}, {'term': 'viewer interest', 'polarity': 'negative'}]"
1402,"great film, loved every second","[{'term': 'film', 'polarity': 'positive'}, {'term': 'second', 'polarity': 'positive'}]"
1690,Nothing like the game but I appreciate that they tried and plus it would be really hard to make it exactly like the game. I love the direction it when in with little Easter eggs! I really hope they make another movie set at the cabin in the snow!,"[{'term': 'game', 'polarity': 'neutral'}, {'term': 'direction', 'polarity': 'positive'}, {'term': 'Easter eggs', 'polarity': 'positive'}, {'term': 'movie', 'polarity': 'neutral'}, {'term': 'cabin', 'polarity': 'neutral'}, {'term': 'snow', 'polarity': 'neutral'}]"
1627,"Definitely different for a slasher film. Constant action. An excellent group of young acting talent. Spared no expense on the sets. Scary, perplexing, and even a few chuckles.","[{'term': 'slasher film', 'polarity': 'positive'}, {'term': 'action', 'polarity': 'positive'}, {'term': 'group', 'polarity': 'positive'}, {'term': 'acting talent', 'polarity': 'positive'}, {'term': 'sets', 'polarity': 'positive'}, {'term': 'chuckles', 'polarity': 'positive'}]"
903,"“Freaky Tales” is a vibe — a “Pulp Fiction”-style amalgam of comically gory set pieces — and you’re either into it or not. I was definitely into it, riding on its giddy storytelling wave.","[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'Pulp Fiction style', 'polarity': 'positive'}, {'term': 'gore', 'polarity': 'neutral'}, {'term': 'storytelling', 'polarity': 'positive'}, {'term': 'vibe', 'polarity': 'positive'}]"
884,"Freaky Tales offers plenty of throwback fun, whether exploring music battles or the cinematic joy of seeing neo-Nazis receive their comeuppance, even if the filmmakers’ influences prove too obvious to feel original, inspired, or even particularly innovative.","[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'throwback fun', 'polarity': 'positive'}, {'term': 'music battles', 'polarity': 'positive'}, {'term': 'anti-Nazi theme', 'polarity': 'positive'}, {'term': 'originality', 'polarity': 'negative'}, {'term': 'influences', 'polarity': 'neutral'}]"
1257,"Sinners is a great movie, top-shelf entertainment to be poured in special celebratory moments.","[{'term': 'Sinners', 'polarity': 'positive'}, {'term': 'movie', 'polarity': 'positive'}, {'term': 'entertainment', 'polarity': 'positive'}, {'term': 'moments', 'polarity': 'positive'}]"
427,"The Luckiest Man in America is good follow-up viewing for “Quiz Show,” a drama about the 1950s quiz show scandals that prompted congressional investigations and led to reforms in the television industry. It’s also an example of how to make a low-budget movie that immerses you in a long-gone world and the minds of people who lived in it, while maintaining a tight geographical focus on a small number of characters.","[{'term': 'The Luckiest Man in America', 'polarity': 'positive'}, {'term': 'Quiz Show', 'polarity': 'neutral'}, {'term': 'drama', 'polarity': 'neutral'}, {'term': 'scandals', 'polarity': 'neutral'}, {'term': 'investigations', 'polarity': 'neutral'}, {'term': 'reforms', 'polarity': 'neutral'}, {'term': 'television industry', 'polarity': 'neutral'}, {'term': 'movie', 'polarity': 'positive'}, {'term': 'world', 'polarity': 'positive'}, {'term': 'minds', 'polarity': 'positive'}, {'term': 'people', 'polarity': 'neutral'}, {'term': 'focus', 'polarity': 'positive'}, {'term': 'characters', 'polarity': 'neutral'}]"
1570,"Everything becomes a chain of inevitable events, soulless, without internal conflict, without emotional resonance.","[{'term': 'Everything', 'polarity': 'negative'}, {'term': 'chain', 'polarity': 'negative'}, {'term': 'events', 'polarity': 'negative'}, {'term': 'conflict', 'polarity': 'negative'}, {'term': 'resonance', 'polarity': 'negative'}]"
1905,Great movie great acting great everything. Definitely watch. Best horror movie I've seen in theaters in a couple years,"[{'term': 'movie', 'polarity': 'positive'}, {'term': 'acting', 'polarity': 'positive'}, {'term': 'everything', 'polarity': 'positive'}, {'term': 'horror movie', 'polarity': 'positive'}, {'term': 'theaters', 'polarity': 'neutral'}, {'term': 'years', 'polarity': 'neutral'}]"
591,"Resituating classic operas in updated contexts is, by now, old hat... But with “Seven Veils” Mr. Egoyan has done something more interesting, weaving a new narrative into and around the opera until the two become a dense, dark thicket of their own.","[{'term': 'Seven Veils', 'polarity': 'positive'}, {'term': 'narrative', 'polarity': 'positive'}, {'term': 'opera', 'polarity': 'neutral'}]"
987,"I definitely like how everything connected in this movie. Also how they implemented new things I haven’t seen in a movie in a while, loved the cameos and the feel of this movie. Surprised this isn’t getting the recognition it deserves.","[{'term': 'movie', 'polarity': 'positive'}, {'term': 'cameos', 'polarity': 'positive'}, {'term': 'feel', 'polarity': 'positive'}, {'term': 'recognition', 'polarity': 'negative'}]"
1988,"A bad adaptation that also doesn't even credit the original game's writers, UNTIL DAWN is the discount store CABIN IN THE WOODS. Mediocre, unimpressive & blatantly stupid, not to mention wildly misleading in the hook of ""Every Night Is A New Horror."" This is just a bad movie that's not helping propel video game adaptations.","[{'term': 'adaptation', 'polarity': 'negative'}, {'term': 'game', 'polarity': 'neutral'}, {'term': 'writers', 'polarity': 'neutral'}, {'term': 'UNTIL DAWN', 'polarity': 'neutral'}, {'term': 'CABIN IN THE WOODS', 'polarity': 'neutral'}, {'term': 'hook', 'polarity': 'negative'}, {'term': 'Every Night Is A New Horror', 'polarity': 'negative'}, {'term': 'movie', 'polarity': 'negative'}, {'term': 'video game adaptations', 'polarity': 'neutral'}]"
2011,"“Until Dawn” delivers strong visuals and a fresh take on the game’s premise, with some genuinely creepy moments and a fun mix of horror styles. While the story offers an interesting twist, the emotional connection to the characters feels a bit flat, and parts of the plot lean into familiar tropes. Still, it’s a decent watch for horror fans and those familiar with the original game. Not groundbreaking, but definitely entertaining.","[{'term': 'Until Dawn', 'polarity': 'positive'}, {'term': 'visuals', 'polarity': 'positive'}, {'term': 'take', 'polarity': 'positive'}, {'term': 'game', 'polarity': 'neutral'}, {'term': 'premise', 'polarity': 'neutral'}, {'term': 'moments', 'polarity': 'positive'}, {'term': 'mix', 'polarity': 'positive'}, {'term': 'horror styles', 'polarity': 'positive'}, {'term': 'story', 'polarity': 'neutral'}, {'term': 'twist', 'polarity': 'positive'}, {'term': 'connection', 'polarity': 'negative'}, {'term': 'characters', 'polarity': 'negative'}, {'term': 'parts', 'polarity': 'neutral'}, {'term': 'plot', 'polarity': 'neutral'}, {'term': 'tropes', 'polarity': 'neutral'}, {'term': 'watch', 'polarity': 'positive'}, {'term': 'horror fans', 'polarity': 'neutral'}, {'term': 'original game', 'polarity': 'neutral'}]"
991,A must watch in theaters! If you’re from the Bay Area you love this film!,"[{'term': 'theaters', 'polarity': 'positive'}, {'term': 'Bay Area', 'polarity': 'positive'}, {'term': 'film', 'polarity': 'positive'}]"
399,Mickey 17 is a quirky space comedy wrapped up within a biting social satire that all contains one heck of a gigantic heart.,"[{'term': 'Mickey 17', 'polarity': 'positive'}, {'term': 'space comedy', 'polarity': 'positive'}, {'term': 'social satire', 'polarity': 'positive'}, {'term': 'heart', 'polarity': 'positive'}]"
1523,Until Dawn is a gimmick movie – a production with just enough tantalizing moments to assemble an intriguing 3-minute trailer but not nearly enough to comprise a full-length feature.,"[{'term': 'Until Dawn', 'polarity': 'negative'}, {'term': 'gimmick movie', 'polarity': 'negative'}, {'term': 'production', 'polarity': 'neutral'}, {'term': 'moments', 'polarity': 'positive'}, {'term': 'trailer', 'polarity': 'positive'}, {'term': 'feature', 'polarity': 'negative'}]"
437,How on earth does Mark Raffalo keep getting acting gigs? some people should just retire,"[{'term': 'Mark Raffalo', 'polarity': 'neutral'}, {'term': 'gigs', 'polarity': 'negative'}, {'term': 'people', 'polarity': 'neutral'}]"
193,"Oliveros keeps the pressure high in his briskly running film that’s propelled by a bloopy, squelchy soundtrack and a volley between harried behind-the-scenes scenes and stage-managed on-set pieces. The script drops enough red herrings to keep everyone guessing about everyone else’s agendas, elevating an otherwise straightforward story.","[{'term': 'Oliveros', 'polarity': 'neutral'}, {'term': 'pressure', 'polarity': 'positive'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'soundtrack', 'polarity': 'positive'}, {'term': 'scenes', 'polarity': 'neutral'}, {'term': 'pieces', 'polarity': 'neutral'}, {'term': 'script', 'polarity': 'positive'}, {'term': 'red herrings', 'polarity': 'positive'}, {'term': 'agendas', 'polarity': 'neutral'}, {'term': 'story', 'polarity': 'neutral'}]"
1446,I loved it from start to finish! Great movie!,"[{'term': 'start', 'polarity': 'positive'}, {'term': 'finish', 'polarity': 'positive'}, {'term': 'movie', 'polarity': 'positive'}]"
615,"The World Will Tremble is a gripping and emotional historical drama that shines a light on a lesser-known but powerful story from the Holocaust. With strong performances and haunting cinematography, the film keeps you engaged while delivering a devastating message about bravery and the fight for truth. A must-watch for history and drama lovers.","[{'term': 'The World Will Tremble', 'polarity': 'positive'}, {'term': 'historical drama', 'polarity': 'positive'}, {'term': 'story', 'polarity': 'positive'}, {'term': 'performances', 'polarity': 'positive'}, {'term': 'cinematography', 'polarity': 'positive'}, {'term': 'message', 'polarity': 'positive'}]"
1514,"Frustrating story aside, Until Dawn does deliver some of the nastiest and gnarliest kills of the year, which are supported by a stellar cast.","[{'term': 'story', 'polarity': 'negative'}, {'term': 'Until Dawn', 'polarity': 'positive'}, {'term': 'kills', 'polarity': 'positive'}, {'term': 'year', 'polarity': 'positive'}, {'term': 'cast', 'polarity': 'positive'}]"
577,"Seyfried is strong, but the film’s trying to do too much while also getting to a lot of these ideas late.","[{'term': 'Seyfried', 'polarity': 'positive'}, {'term': 'film', 'polarity': 'negative'}, {'term': 'ideas', 'polarity': 'neutral'}]"
992,Destined to be a cult classic! I must see movie!,"[{'term': 'cult classic', 'polarity': 'positive'}, {'term': 'movie', 'polarity': 'positive'}]"
807,"…it may not be a classic underdog story, but there’s enough positive comment about the humble overcoming the odds to defeat the wicked to make these Freaky Tales worth the telling…","[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'underdog story', 'polarity': 'neutral'}, {'term': 'themes', 'polarity': 'positive'}]"
707,Nyoni lets the visual and thematic pieces of her film’s dramatic puzzle fall into place gradually.,"[{'term': 'Nyoni', 'polarity': 'positive'}, {'term': 'visuals', 'polarity': 'positive'}, {'term': 'themes', 'polarity': 'positive'}, {'term': 'storytelling', 'polarity': 'positive'}]"
889,"Freaky Tales feels like a fresh start for Anna Boden & Ryan Fleck, a wild genre extravaganza that’s equal parts tribute to 1987 Oakland and a major good time on its own.","[{'term': 'Freaky Tales', 'polarity': 'positive'}, {'term': 'Boden and Fleck', 'polarity': 'positive'}, {'term': 'genre extravaganza', 'polarity': 'positive'}, {'term': 'Oakland', 'polarity': 'positive'}, {'term': 'fun', 'polarity': 'positive'}]"
142,"A mostly failed attempt to merge sci-fi with satire, Mickey 17 suffers from a fragmented narrative and a scenery-chewing performance from Mark Ruffalo that belongs in a different movie (perhaps Poor Things).","[{'term': 'sci-fi', 'polarity': 'negative'}, {'term': 'satire', 'polarity': 'negative'}, {'term': 'Mickey 17', 'polarity': 'negative'}, {'term': 'narrative', 'polarity': 'negative'}, {'term': 'performance', 'polarity': 'negative'}, {'term': 'Mark Ruffalo', 'polarity': 'negative'}, {'term': 'movie', 'polarity': 'negative'}, {'term': 'Poor Things', 'polarity': 'neutral'}]"
1368,"With “Sinners,” an inimitable auteur makes the most of every surrealist detail and crafts a fright fest that’s musical and meaningful, mesmerizing and memorable.","[{'term': 'Sinners', 'polarity': 'positive'}, {'term': 'auteur', 'polarity': 'positive'}, {'term': 'detail', 'polarity': 'positive'}, {'term': 'fright fest', 'polarity': 'positive'}]"
3,The grey slop force-fed to the characters during their voyage to Niflheim illustrates the film best: it's nutritious but unsatisfactory. I'm still hungry.,"[{'term': 'grey slop', 'polarity': 'negative'}, {'term': 'characters', 'polarity': 'neutral'}, {'term': 'voyage', 'polarity': 'neutral'}, {'term': 'Niflheim', 'polarity': 'neutral'}, {'term': 'film', 'polarity': 'negative'}]"
1232,"The great sin of “Sinners” is that, for all the audacity of its conception, it finally collapses into the familiar.","[{'term': 'sin', 'polarity': 'negative'}, {'term': 'Sinners', 'polarity': 'negative'}, {'term': 'audacity', 'polarity': 'positive'}, {'term': 'conception', 'polarity': 'positive'}]"
1881,"“Until Dawn” is an adaptation of the 2015 PlayStation game following a group of friends trying to survive the night while being chased by murderous monsters. This movie has a promising premise that seemed as though it could actually improve upon the poor game it’s adapting, but despite it’s creative innovations and unique ideas, the writers stop short of committing to most of their own plot points and in many cases abandon them altogether. Overall, the characters are almost completely uninteresting and the story, to non-fans of the game, is nothing more than any generic Hollywood horror movie with countless inconsistencies and dumb decisions.","[{'term': 'Until Dawn', 'polarity': 'neutral'}, {'term': 'adaptation', 'polarity': 'neutral'}, {'term': 'PlayStation game', 'polarity': 'neutral'}, {'term': 'friends', 'polarity': 'neutral'}, {'term': 'night', 'polarity': 'neutral'}, {'term': 'monsters', 'polarity': 'neutral'}, {'term': 'movie', 'polarity': 'neutral'}, {'term': 'premise', 'polarity': 'positive'}, {'term': 'game', 'polarity': 'negative'}, {'term': 'innovations', 'polarity': 'positive'}, {'term': 'ideas', 'polarity': 'positive'}, {'term': 'writers', 'polarity': 'neutral'}, {'term': 'plot points', 'polarity': 'negative'}, {'term': 'cases', 'polarity': 'neutral'}, {'term': 'characters', 'polarity': 'negative'}, {'term': 'story', 'polarity': 'negative'}, {'term': 'non-fans', 'polarity': 'neutral'}, {'term': 'Hollywood horror movie', 'polarity': 'negative'}, {'term': 'inconsistencies', 'polarity': 'negative'}, {'term': 'decisions', 'polarity': 'negative'}]"
1169,"The absurdities which result are intermittently entertaining, but the film’s first half has put us on the road to something much more involving, and I spent the rest of it wondering what might have been.","[{'term': 'absurdities', 'polarity': 'neutral'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'first half', 'polarity': 'positive'}]"
340,"Mickey 17 is handsome, it has cool creature creations, it’s eventful, and its heart is in the right place.","[{'term': 'Mickey 17', 'polarity': 'positive'}, {'term': 'creature creations', 'polarity': 'positive'}, {'term': 'heart', 'polarity': 'positive'}]"
1781,Bad movie experience,"[{'term': 'movie experience', 'polarity': 'negative'}]"
1548,The video game adaptation feels campy and never offers the ‘alarming fear’ you seek from thrillers.,"[{'term': 'video game adaptation', 'polarity': 'negative'}, {'term': 'fear', 'polarity': 'negative'}, {'term': 'thrillers', 'polarity': 'neutral'}]"
484,"Warfare is downright experimental in its presentation, daring even in how it bucks form and structure. As an experience, it cuts to the bone.","[{'term': 'Warfare', 'polarity': 'positive'}, {'term': 'presentation', 'polarity': 'positive'}, {'term': 'experience', 'polarity': 'neutral'}]"
266,"A valuable asset here is a classical, piano-driven score by “Squid Game” composer Jung Jae-il, an inspired departure from the synth chords and electric beeps one tends to hear in so many other films and longform TV depicting the future.","[{'term': 'score', 'polarity': 'positive'}, {'term': 'Squid Game', 'polarity': 'neutral'}, {'term': 'composer', 'polarity': 'neutral'}, {'term': 'Jung Jae-il', 'polarity': 'positive'}, {'term': 'films', 'polarity': 'neutral'}, {'term': 'longform TV', 'polarity': 'neutral'}]"
377,Robert Pattinson is to die for...,"[{'term': 'Robert Pattinson', 'polarity': 'positive'}]"
742,We’ve all heard (or lived through) real-life stories of families protecting their problematic men over the safety of their daughters. On Becoming a Guinea Fowl is a slow-burn battle cry for a new way forward.,"[{'term': 'On Becoming a Guinea Fowl', 'polarity': 'positive'}, {'term': 'family dynamics', 'polarity': 'neutral'}, {'term': 'battle cry', 'polarity': 'positive'}]"
1671,"It was a lot of fun. I didn't see the trailer so didn't know what to expect. It has the spirit of the game. Also reminded me of a mix of movies like Silent Hill, Groundhog Day and those 2000s horror movies like House of Wax. Lots of good gore. I don't get the hate.","[{'term': 'trailer', 'polarity': 'neutral'}, {'term': 'spirit', 'polarity': 'positive'}, {'term': 'game', 'polarity': 'positive'}, {'term': 'movies', 'polarity': 'neutral'}, {'term': 'Silent Hill', 'polarity': 'neutral'}, {'term': 'Groundhog Day', 'polarity': 'neutral'}, {'term': 'horror movies', 'polarity': 'neutral'}, {'term': 'House of Wax', 'polarity': 'neutral'}, {'term': 'gore', 'polarity': 'positive'}, {'term': 'hate', 'polarity': 'negative'}]"
440,Heavy handed on the political commentary,"[{'term': 'commentary', 'polarity': 'neutral'}]"
272,"As in Parasite, Mickey 17 shows director Bong quickly shifting gears, twirling between satire and social commentary.","[{'term': 'Parasite', 'polarity': 'neutral'}, {'term': 'Mickey 17', 'polarity': 'positive'}, {'term': 'director', 'polarity': 'positive'}, {'term': 'Bong', 'polarity': 'positive'}, {'term': 'satire', 'polarity': 'positive'}, {'term': 'social commentary', 'polarity': 'positive'}]"
185,"I found this to be a very predictable, boring movie, full of too many stereotypes to be the edgy take on science fiction that it attempts to be. I wouldn’t waste my time.","[{'term': 'movie', 'polarity': 'negative'}, {'term': 'stereotypes', 'polarity': 'negative'}, {'term': 'science fiction', 'polarity': 'neutral'}, {'term': 'time', 'polarity': 'negative'}]"
944,3.75 Very entertaining movie intertwining seemingly arbitrary stories. Good homage to 80s Oakland CA.,"[{'term': 'entertainment movie', 'polarity': 'positive'}, {'term': 'stories', 'polarity': 'neutral'}, {'term': '80s Oakland', 'polarity': 'positive'}]"
245,"Warfare may sharply communicate what it’s like to be under fire, and those looking for bruising action will be exhilarated by the electricity it generates. But anyone asking for some complexity beyond these are the boys that answered the call to go to war will be left decidedly SOL.","[{'term': 'Warfare', 'polarity': 'neutral'}, {'term': 'action', 'polarity': 'positive'}, {'term': 'complexity', 'polarity': 'neutral'}]"
936,"this movie could be the greatest film ever made and i wouldn't watch it. the film is directly responsible for significant financial damages to oakland's already battered small businesses by illegally blocking off an entire neighborhood without warning, communication or compensation during filming and telling us to f@#k off instead - during the holiday season. a love letter to oakland that comes at the expense of an already beleaguered city and its small biz community is not how you show love. hella ironic, hella depressing and hella sad.","[{'term': 'movies', 'polarity': 'negative'}, {'term': 'Oakland', 'polarity': 'negative'}, {'term': 'production impact', 'polarity': 'negative'}, {'term': 'community', 'polarity': 'negative'}]"
446,"Oliveros keeps the pressure high in his briskly running film that’s propelled by a bloopy, squelchy soundtrack and a volley between harried behind-the-scenes scenes and stage-managed on-set pieces. The script drops enough red herrings to keep everyone guessing about everyone else’s agendas, elevating an otherwise straightforward story.","[{'term': 'Oliveros', 'polarity': 'neutral'}, {'term': 'pressure', 'polarity': 'positive'}, {'term': 'film', 'polarity': 'positive'}, {'term': 'soundtrack', 'polarity': 'positive'}, {'term': 'scenes', 'polarity': 'neutral'}, {'term': 'pieces', 'polarity': 'neutral'}, {'term': 'script', 'polarity': 'positive'}, {'term': 'red herrings', 'polarity': 'positive'}, {'term': 'agendas', 'polarity': 'neutral'}, {'term': 'story', 'polarity': 'neutral'}]"
597,The World Will Tremble is a harrowing depiction of the beginning of the Holocaust and how the Nazis' heinous murders of Jewish people were kept a secret from the world for too long. Oliver Jackson-Cohen leads the cast with a riveting performance.,"[{'term': 'The World Will Tremble', 'polarity': 'positive'}, {'term': 'Holocaust depiction', 'polarity': 'positive'}, {'term': 'Oliver Jackson-Cohen', 'polarity': 'positive'}, {'term': 'performance', 'polarity': 'positive'}]"
819,"“Freaky Tales” is a pulpy smorgasbord of genres, style choices, and characters, coagulating into an overstuffed Bay Area pastiche that has a hard time finding its footing.","[{'term': 'Freaky Tales', 'polarity': 'negative'}, {'term': 'genres', 'polarity': 'neutral'}, {'term': 'style', 'polarity': 'neutral'}, {'term': 'characters', 'polarity': 'neutral'}, {'term': 'cohesion', 'polarity': 'negative'}]"
1283,"Featuring some rich world and character building, a sumptuous sublime score, and engaging performances, Sinners needs to be seen on the biggest screen, as soon as possible.","[{'term': 'world', 'polarity': 'positive'}, {'term': 'character building', 'polarity': 'positive'}, {'term': 'score', 'polarity': 'positive'}, {'term': 'performances', 'polarity': 'positive'}, {'term': 'Sinners', 'polarity': 'positive'}, {'term': 'screen', 'polarity': 'positive'}]"
